,0
0,-3160.0807329525705
1,2910.133283127332
2,1888.2479459478054
3,-1060.5822634447832
4,-97.39183538150974
5,-4439.504088764777
6,-9040.835599150974
7,9464.37982049142
8,-4665.226479093544
9,-2380.417460499564
10,6882.628758069361
11,228.52190701081418
12,9083.670236997772
13,11781.14161041798
14,-5472.050231193658
15,1189.633805494057
16,3969.9080547385383
17,-1505.3546588283498
18,-1167.0591891191434
19,-94.76935634529218
20,-104.76363878673874
21,381.8360160626471
22,-347.6239594737999
23,-176.76632946543396
24,0.0
25,0.0
26,68.3288837543223
27,-96.28455636417493
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,-112.19183082599193
34,808.5112546407618
35,-205.1936897430569
36,-115.67613926925696
37,-233.2645513601601
38,-293.98913634126075
39,2422.461076186504
40,910.7641365611926
41,-600.7236007587053
42,-1088.3096265867352
43,1288.1833549919538
44,174.17984868306667
45,2701.4975693053566
46,-711.0747624400537
47,3660.044584377436
48,1582.092932278756
49,2388.370931454003
50,3216.160530523164
51,5066.04226211831
52,-3910.969869269291
53,-2915.1770989608485
54,-1057.3199546751566
55,3799.7627225276083
56,-1161.3205045822542
57,-7750.345467558363
58,6687.063195676077
59,-11876.409162541851
60,4114.051200579153
61,5922.345607147785
