,0
0,1477195.1129363277
1,1476431.8476526807
2,1476288.2423193762
3,1476288.2423193762
4,1476288.2423193762
5,1476288.2423193762
6,1476288.2423193762
7,1476288.2423193762
8,1476288.2423193762
9,1476288.2423193762
10,1476288.2423193762
11,1476288.2423193762
12,1476288.2423193762
13,1476288.2423193762
14,1476288.2423193762
15,1476288.2423193762
16,1476288.2423193762
17,1476288.2423193762
18,1476288.2423193762
19,1476288.2423193762
20,1476288.2423193762
21,1476288.2423193762
22,1476288.2423193762
23,1476288.2423193762
24,1476288.2423193762
25,1476288.2423193762
26,1476288.2423193762
27,1476288.2423193762
28,1476341.727189016
29,1476201.0379271177
30,1476201.0379271177
31,1476201.0379271177
32,1476201.0379271177
33,1476201.0379271177
34,1476201.0379271177
35,1476201.0379271177
36,1476201.0379271177
37,1476201.0379271177
38,1476201.0379271177
39,1476201.0379271177
40,1476201.0379271177
41,1476201.0379271177
42,1476201.0379271177
43,1476201.0379271177
44,1476201.0379271177
45,1476201.0379271177
46,1476201.0379271177
47,1476201.0379271177
48,1476201.0379271177
49,1476201.0379271177
50,1476201.0379271177
51,1476201.0379271177
52,1476201.0379271177
53,1476201.0379271177
54,1476201.0379271177
55,1476201.0379271177
56,1476201.0379271177
57,1476201.0379271177
58,1476201.0379271177
59,1476201.0379271177
60,1476201.0379271177
61,1476201.0379271177
62,1476201.0379271177
