,0
0,1000000.0
1,999345.0324218567
2,998853.2606291841
3,997110.2001470999
4,997060.7432292574
5,994788.0333236677
6,992324.2160077068
7,991331.8242119986
8,985610.8624058128
9,985371.8415354284
10,988310.643930332
11,981067.359488085
12,986367.5223452438
13,982765.3148870014
14,980957.812514552
15,982108.2371508649
16,984494.4485048556
17,990598.1713531542
18,985351.3817384407
19,980517.3439842386
20,978470.0773926321
21,985353.529278747
22,981273.584383873
23,986968.1383354007
24,992832.1343578179
25,994149.3795742887
26,974810.9021163369
27,977383.9180822452
28,974742.3033139859
29,970373.6750010134
30,957375.2285052717
31,957821.3193123692
32,954701.789506062
33,951738.9187519746
34,939416.5778420162
35,952827.593463229
36,945080.6825346011
37,933589.7953203993
38,923332.1993609556
39,904326.1232301951
40,903204.3989879327
41,912019.7296337392
42,891442.4766572176
43,895873.3196075307
44,887466.2746357797
45,916121.5436659073
46,912219.9349807338
47,932757.9471115462
48,940144.1009317097
49,935183.0984187154
50,951965.678962728
51,962734.7957895931
52,946979.5695690248
53,935892.3386396281
54,976689.9640218378
55,964381.7333057629
56,970065.0822843501
57,987995.2732098701
58,974658.1763746523
59,952136.7767126843
60,960334.3505391148
61,974926.7071972254
62,994342.0193480351
63,995524.4186449297
64,995347.7767114849
65,978039.1889206592
66,982756.196342317
67,1008053.6034083207
68,1003524.129040318
69,984431.2124495308
70,1000339.38743604
71,1003764.1696353678
72,1005887.092516349
73,972171.2360065918
74,983776.3749009353
75,966487.9246878523
76,986338.6217217391
77,1015295.754783147
78,1005427.0247878094
79,1005588.7966909688
80,1023331.6408049447
81,1019893.8342134728
82,1021703.3820626761
83,1048332.7795629419
84,1044714.5668646581
85,1053627.1823019076
86,1046920.5665221573
87,1076817.425785688
88,1051169.9165842563
89,1057627.532144883
90,1035444.5644825152
91,1047298.65774656
92,1037710.1920424579
93,1065055.8491919853
94,1055099.4543202803
95,1053385.876191407
96,1041006.5281776193
97,1040651.1537796631
98,1066083.761938668
99,1045513.5189735453
100,1058048.64142919
101,1073240.9514408077
102,1097397.5988699868
103,1103187.787789479
104,1096207.9355520445
105,1098400.3034084504
106,1094946.4289798345
107,1094831.4444601694
108,1099932.5997217873
109,1098835.2071677013
110,1094976.2387275605
111,1091516.2806271552
112,1072009.8485376476
113,1053539.085669101
114,1051643.4338110257
115,1060933.963756105
116,1062909.3746986764
117,1030555.82709356
118,1032496.814565738
119,1028903.4337669509
120,1060538.133056769
121,1056523.8982061555
122,1073471.8389692935
123,1063072.3725526254
124,1065977.763804348
125,1035135.4827906698
126,1050039.7454030048
127,1025688.1026387591
128,1026594.5895133835
129,1018776.4094105077
130,1012616.9471720612
131,1032701.9270259958
132,1038278.4422715954
133,1082154.5405425539
134,1094246.92010561
135,1092388.1205947632
136,1111825.616796566
137,1142204.5776589406
138,1133689.2670940966
139,1160631.24493385
140,1171274.747647175
141,1165355.7962887415
142,1148627.8749319818
143,1144724.2291226543
144,1147282.4580547959
145,1143488.1312165293
146,1154206.3525059568
147,1155489.1494627742
148,1159069.621886614
149,1161945.9864887248
150,1178094.3388642217
151,1176508.251244529
152,1159342.633928754
153,1173333.782009877
154,1173722.2409377063
155,1165148.2813564322
156,1137118.88586292
157,1147234.9136523749
158,1165150.6484150449
159,1176007.863743481
160,1202343.1499081494
161,1209040.8859904357
162,1210366.2392230213
163,1216929.189672829
164,1220019.1476829313
165,1212940.5916901468
166,1202494.3794023304
167,1174142.405600272
168,1163638.508516326
169,1166008.4986283644
170,1180416.5953642882
171,1200343.5916497477
172,1209066.7632627757
173,1218750.7931082968
174,1216149.317658424
175,1218007.000417342
176,1221223.4463632605
177,1234633.2802193104
178,1223325.387565123
179,1221245.5886824147
180,1208107.274248221
