,0
0,1571449.5825414432
1,1562757.7365134328
2,1565967.1277281365
3,1572641.2059370663
4,1571587.9179135524
5,1571587.9179135524
6,1571587.9179135524
7,1571587.9179135524
8,1571831.0292073207
9,1569753.3801660233
10,1569807.1770589505
11,1573237.3318571215
12,1572414.3003417393
13,1571703.291882641
14,1571703.291882641
15,1571703.291882641
16,1571703.291882641
17,1571703.291882641
18,1569953.1627806677
19,1569785.928359219
20,1566428.1748526995
21,1569423.6252185507
22,1568796.8035119576
23,1568440.7568613435
24,1568440.7568613435
25,1568440.7568613435
26,1568440.7568613435
27,1568440.7568613435
28,1568440.7568613435
29,1568440.7568613435
30,1568440.7568613435
31,1568440.7568613435
32,1568440.7568613435
33,1568440.7568613435
34,1568440.7568613435
35,1568440.7568613435
36,1568440.7568613435
37,1568440.7568613435
38,1568440.7568613435
39,1568440.7568613435
40,1568440.7568613435
41,1568440.7568613435
42,1568440.7568613435
43,1568440.7568613435
44,1568440.7568613435
45,1568440.7568613435
46,1568440.7568613435
47,1568440.7568613435
48,1568440.7568613435
49,1568440.7568613435
50,1568440.7568613435
51,1568440.7568613435
52,1568440.7568613435
53,1568440.7568613435
54,1568440.7568613435
55,1568440.7568613435
56,1568440.7568613435
57,1568440.7568613435
58,1568440.7568613435
59,1568440.7568613435
60,1568440.7568613435
61,1568440.7568613435
62,1568440.7568613435
