,0
0,1000000.0
1,999322.6711769269
2,998832.8981248057
3,996877.3081060037
4,995606.1548328619
5,993081.3078528199
6,990219.2642295425
7,990122.4148132396
8,981727.371616072
9,982009.4927653761
10,986077.5216442127
11,967270.9088843032
12,979320.8863069016
13,977242.5172539941
14,975686.5886938723
15,978656.3210486239
16,983999.8796587719
17,998760.1790941535
18,980983.2428952025
19,967877.937655031
20,963895.0847066424
21,975803.7637715661
22,961952.3472700199
23,974483.03198992
24,998177.0226487445
25,1000266.024187836
26,955828.2363331018
27,968060.1615091255
28,971850.1388443619
29,954151.3730133218
30,924632.4161935159
31,928304.3301022956
32,923041.3026805068
33,914284.4142029642
34,881722.9002574945
35,912207.8902654281
36,897085.1240813079
37,878504.0685830128
38,876362.2346518957
39,843216.1869695816
40,838016.2844208775
41,855070.5044848716
42,821624.5355123439
43,823960.8724573079
44,813230.9888805306
45,859694.9478584159
46,859305.8623608887
47,894781.1862937082
48,903901.667932707
49,894113.7705861389
50,927285.6603196395
51,949385.4400875809
52,927834.4368858952
53,907319.2459093449
54,967863.0490826756
55,943023.6142792599
56,961517.3296771972
57,983128.7091471303
58,966011.0316070633
59,937486.725781975
60,953692.2676305069
61,974520.0408925529
62,997453.1659106275
63,1002083.2248783332
64,997392.8494878629
65,979905.8810070547
66,985171.308623905
67,1019465.671770028
68,1022645.058195986
69,1000909.8967066081
70,1013888.1660481549
71,1024061.3370118905
72,1024446.472060957
73,990670.5959001018
74,1007835.6595148803
75,996578.6126958133
76,1007702.8785855388
77,1015590.8231724787
78,1011576.2384175683
79,1015373.034822829
80,1030405.170640916
81,1021984.2424447581
82,1017272.8106937355
83,1042446.9709320876
84,1043842.6596618649
85,1052083.8312632078
86,1041978.5620708794
87,1066539.7660267635
88,1045384.5530410619
89,1048779.8419221826
90,1026792.5604420846
91,1036503.611795188
92,1026831.869799633
93,1058570.0413034912
94,1047193.9225697913
95,1043176.3526095074
96,1028828.2534078382
97,1029004.0299292246
98,1060184.3275181912
99,1037875.4858013482
100,1049135.1595340106
101,1060127.386241309
102,1079495.9243831225
103,1080415.4910577985
104,1076872.492698018
105,1081727.038294198
106,1080397.552447402
107,1077280.868247096
108,1075572.8399866696
109,1067975.697029192
110,1063653.6677175683
111,1069580.8009005086
112,1046800.6420579834
113,1037332.8553156394
114,1041235.5501357383
115,1057213.1275497694
116,1055806.3833709543
117,1033548.7291437548
118,1032096.7350109882
119,1031268.871933629
120,1048992.9833690803
121,1046267.770724389
122,1054408.9541993875
123,1046562.2748166389
124,1052684.5608477897
125,1029595.7351205177
126,1036484.327570278
127,1024437.5916733427
128,1023292.6616515559
129,1024794.5321724887
130,1020345.0516587405
131,1040655.7910731279
132,1044667.1421570646
133,1066143.8709607134
134,1073421.9358246217
135,1077206.3016107655
136,1088436.4044772852
137,1093428.2461631168
138,1092654.3851375212
139,1109628.8839988913
140,1111525.7648321236
141,1112036.2126412017
142,1117611.3514138232
143,1115810.6812524353
144,1126077.9662808212
145,1126538.0175629507
146,1135608.8950319954
147,1134736.199386042
148,1130988.274616531
149,1128548.1517198768
150,1140413.957304276
151,1138628.389449614
152,1131554.2347649466
153,1145225.9413900361
154,1150782.669723781
155,1141930.9644608865
156,1122074.751762818
157,1130815.9305458532
158,1136243.0790501721
159,1147685.4559766897
160,1163657.978047322
161,1160831.393652881
162,1165022.9494676862
163,1162915.4512533841
164,1163039.5046851048
165,1155990.895623201
166,1153665.740678285
167,1132658.5935203491
168,1134366.360144445
169,1143445.4857622636
170,1152417.2879270234
171,1154525.9245332398
172,1158517.3277032091
173,1169343.1824611807
174,1165312.0693518496
175,1167798.4633860302
176,1164945.9453521213
177,1183008.670103709
178,1181064.673811713
179,1183146.0077212602
180,1180600.9725321822
181,1184325.4709835618
182,1170630.6335228647
183,1167771.1707221137
184,1161696.0887303974
185,1178032.3707682374
186,1174520.258873544
187,1173130.071272065
188,1153071.5392289036
189,1149680.36060184
190,1161267.9606853512
191,1177384.0464081513
192,1176638.4908996348
193,1176937.3738826562
194,1182887.3655878636
195,1182036.264097402
196,1181868.4202406425
197,1199446.3188551997
198,1205646.1970654055
199,1200823.5066717914
200,1208332.7622514467
201,1204803.6197105614
202,1193473.7800521865
203,1209340.3599283171
204,1201455.3224922752
205,1185965.9271524523
206,1188909.5217797616
207,1177671.5748722986
208,1196273.8723622994
209,1167128.1057996515
210,1177577.3432033067
211,1175023.9292742352
212,1183059.4315964468
213,1207521.2777241976
214,1208110.992470321
215,1229488.9608124094
216,1229202.741415226
217,1236807.0993635291
218,1224079.1933702533
219,1231201.0476646444
220,1241494.5360155364
221,1244229.5903530235
222,1243697.8282965014
223,1235112.7628828925
224,1234511.8968461151
