,0
0,1605673.6520838127
1,1604614.4848955744
2,1604503.1008580334
3,1604503.1008580334
4,1604503.1008580334
5,1604503.1008580334
6,1604503.1008580334
7,1604503.1008580334
8,1604503.1008580334
9,1604503.1008580334
10,1604503.1008580334
11,1604503.1008580334
12,1604503.1008580334
13,1604503.1008580334
14,1604503.1008580334
15,1604503.1008580334
16,1604503.1008580334
17,1604503.1008580334
18,1604503.1008580334
19,1604503.1008580334
20,1604503.1008580334
21,1604503.1008580334
22,1604503.1008580334
23,1604503.1008580334
24,1604503.1008580334
25,1604503.1008580334
26,1604503.1008580334
27,1604503.1008580334
28,1604503.1008580334
29,1604503.1008580334
30,1604503.1008580334
31,1604503.1008580334
32,1604503.1008580334
33,1604503.1008580334
34,1604503.1008580334
35,1604503.1008580334
36,1604503.1008580334
37,1604373.0054333834
38,1604576.842321334
39,1604294.216837438
40,1604294.216837438
41,1604294.216837438
42,1607416.5027165115
43,1607294.6105129207
44,1607294.6105129207
45,1607294.6105129207
46,1607294.6105129207
47,1607294.6105129207
48,1607294.6105129207
49,1607294.6105129207
50,1607294.6105129207
51,1607294.6105129207
52,1607294.6105129207
53,1607294.6105129207
54,1607294.6105129207
55,1607294.6105129207
56,1607294.6105129207
57,1607294.6105129207
58,1607294.6105129207
59,1607294.6105129207
60,1607294.6105129207
61,1607294.6105129207
62,1607294.6105129207
