,0
0,1000000.0
1,999469.9005124877
2,998717.8108621924
3,994535.9319674384
4,994989.1117478057
5,991514.7873475208
6,986965.7729636992
7,984447.2167214131
8,971377.2173743285
9,971474.5204559492
10,978173.3201619433
11,958147.8201159006
12,972018.9673096626
13,964802.3596854643
14,958819.4124940957
15,957592.0654274301
16,966539.8250223048
17,985371.5235711109
18,962974.0720506001
19,947690.8638538272
20,946868.7830368165
21,964490.7639081372
22,950963.9298045487
23,962815.9985221348
24,981508.8235302327
25,982472.1845729776
26,941156.692137544
27,950006.1844640422
28,953466.5639129042
29,945668.2372522664
30,916743.5338479638
31,916786.8473620301
32,907499.6538718252
33,897080.4224207858
34,863741.6544762114
35,885124.7267875319
36,868596.0694930392
37,840718.0076973038
38,827624.0559042817
39,795386.5730622177
40,793956.7414719037
41,817337.2545495825
42,784530.2384500295
43,791125.776790884
44,778043.3150082713
45,819977.4491737251
46,817047.43768812
47,844174.6370306332
48,855762.7775134213
49,851489.227899001
50,873651.5725476294
51,885130.4673094252
52,869087.760475071
53,858802.2933474045
54,906718.9643877582
55,889757.4474930371
56,897477.9328288414
57,918391.9336598337
58,903923.7411238207
59,878676.8730286855
60,889239.3930424249
61,905737.1985485163
62,929516.4257801314
63,932109.2250838055
64,932922.1209909199
65,915680.2082410388
66,917694.7059052079
67,942342.2973476682
68,940250.9234435091
69,923875.8198206362
70,937183.1431532598
71,945421.8340601224
72,949085.4137735161
73,923061.2895984804
74,932461.1620647776
75,917686.1367639881
76,925571.9226328766
77,931846.0020157116
78,928413.0970800784
79,928541.3985100341
80,940293.8194038955
81,942418.7944215831
82,946306.4235702107
83,970948.7446339305
84,971980.9152610638
85,976985.271606517
86,971516.0500267494
87,987334.858550477
88,968511.2063194863
89,973813.2104714664
90,961904.2509302798
91,970621.8424367502
92,965371.7516812363
93,988016.4373301695
94,982623.6088354355
95,987010.4446263182
96,972649.8515551976
97,972840.2100431841
98,997039.8428631574
99,980317.4871839748
100,987907.648723122
101,999507.9502399118
102,1023254.0835406337
103,1029615.4811060076
104,1026813.029407948
105,1028599.6410133229
106,1029803.4104076182
107,1024638.2489932898
108,1021538.1264130909
109,1015454.1886820933
110,1012424.674646879
111,1014216.2037584125
112,994146.157219468
113,986074.3923553138
114,988303.225024691
115,999419.4664750643
116,998119.7677209933
117,979306.1226833758
118,976444.1344010625
119,976907.7655637863
120,994323.0392392817
121,994037.2783049631
122,1002777.5302254172
123,994195.8750203605
124,1001352.0589490479
125,974527.8882581432
126,983247.8247290727
127,968018.678223156
128,970815.7198969142
129,966969.0325438067
130,966387.3237244056
131,986580.9714292339
132,989738.474312047
133,1013887.110221524
134,1022028.2008844004
135,1025055.3645651594
136,1037636.2500072017
137,1049070.6378440259
138,1049104.7749595728
139,1063872.2158229868
140,1068816.7025989315
141,1069649.2364301367
142,1071222.4372961782
143,1071128.7148880195
144,1079486.479317355
145,1076392.6913869171
146,1086103.8620925837
147,1090065.5931607364
148,1077071.7121828508
149,1071214.5845846094
150,1081244.1561473557
151,1084174.48606391
152,1076272.8357499389
153,1091432.152005983
154,1093024.2324950404
155,1085448.7033987944
156,1067482.907582089
157,1077836.7696299215
158,1083939.2367098758
159,1091576.9286273222
160,1109397.6509739107
161,1111279.359577228
162,1115770.979228574
163,1112717.0072475786
164,1115099.3693582998
165,1110201.8125911346
166,1107433.8847772952
167,1088482.5747355565
168,1085717.9430831491
169,1092239.1579695914
170,1105471.403836674
171,1111995.6802731887
172,1115333.6074748326
173,1125667.6536857167
174,1123256.6955730477
175,1123912.731857527
176,1129100.1883711175
177,1145149.1748665741
178,1150770.7425158843
179,1154490.958412019
180,1148377.8502804514
181,1152556.4275502588
182,1146532.8354055185
183,1141773.0387492722
184,1136635.3748797253
185,1149611.4643535642
186,1145026.8827964799
187,1144971.3441170375
188,1123112.5970296385
189,1123696.099653285
190,1130592.6043691006
191,1147079.4269160517
192,1148397.9574548816
193,1152731.4849647807
194,1159141.7799812607
195,1161180.5729301213
196,1155794.509283727
197,1169159.473240909
198,1174837.815147669
199,1171958.1324014694
200,1187706.3435566493
201,1196633.574204338
202,1191075.4687255172
203,1200815.2353970078
204,1193384.445079425
205,1184374.3611252136
206,1183627.6923750846
207,1167792.1559262243
208,1187669.0975949327
209,1159828.9807229694
210,1170047.1420212518
211,1168083.937886476
212,1181896.3470119669
213,1203530.0641551954
214,1205647.6365700066
215,1232616.4911847766
216,1234411.5506338608
217,1238180.1049257831
218,1227933.4816483571
219,1239198.1256779635
220,1255977.0381980224
221,1256413.4308435794
222,1254646.2461331657
223,1242717.4170338332
224,1243853.360989305
225,1258405.80662241
226,1258827.5266156627
227,1264143.189769391
228,1246590.5682419033
229,1245547.9178968477
230,1259177.6326650525
231,1254963.366429281
232,1246017.0686442666
233,1246941.5126045349
234,1245391.9796001592
235,1235794.7756840757
236,1243663.7558881948
237,1254575.4275514071
238,1258776.281193628
239,1270115.6563219426
240,1266337.8719908241
241,1268024.2836784637
242,1254147.7577754261
243,1260650.274845407
244,1268597.1335471815
245,1273149.7163536684
246,1275021.9691120193
247,1284278.2435772372
248,1289086.109053351
249,1286216.4893162
250,1286728.9430254272
251,1272949.320056718
252,1292323.2806255189
253,1288143.3523702854
254,1280970.8484429384
255,1283254.775542259
256,1285771.5103347192
257,1297846.274580198
258,1289179.6210525234
259,1301732.260781617
260,1305504.4457250484
261,1289032.6467182816
262,1315207.8567802354
263,1300975.255622558
264,1274316.7808648131
265,1245198.459111201
266,1253596.9032824088
267,1255325.1634632964
268,1256765.1942099389
269,1236586.4826725973
270,1222442.7480438922
271,1234158.80435003
272,1246642.1455247998
273,1247237.6067562366
274,1212761.764037167
275,1216564.8133041926
276,1206245.3142088132
277,1225345.40117217
278,1221683.827109357
279,1239868.305159879
280,1236621.8374713277
281,1251529.905368735
282,1257641.9616421398
283,1264464.1341960155
284,1261396.6349788914
285,1259960.170247415
286,1245607.3537132386
287,1258974.8034456018
288,1255460.7475709128
289,1260017.6349805475
290,1275315.6994505096
291,1275044.2243712049
292,1275535.487861509
293,1277592.7257083352
294,1298514.244861792
295,1300377.6028039143
296,1308642.1621575197
297,1311825.3557717225
298,1315725.3026362557
299,1319416.912495607
300,1316072.2033534793
301,1320760.6922123
302,1324337.9331827273
303,1330968.2229093357
304,1328443.4874725542
305,1332415.4783687964
306,1349363.4769434596
307,1341312.1149793735
308,1340330.6216319355
309,1345274.362742061
310,1352161.7846119234
311,1359692.7120320643
312,1353593.265088738
313,1364282.249694967
314,1371947.1387505347
315,1371626.259941199
316,1364731.579556063
317,1365996.7323760346
318,1374948.557629163
319,1378904.3297525584
320,1380500.7321620646
321,1389397.7234494067
322,1395170.5604047019
323,1386843.198772424
324,1394061.9049736264
325,1393332.9001817321
326,1413529.1620388706
327,1424695.0767119105
328,1434434.5800080525
329,1435227.399009794
330,1405581.310475785
331,1410120.1164158725
332,1433440.488301454
333,1403039.8846974112
334,1424697.431610807
335,1391976.6895442693
336,1384497.097502372
337,1341280.1328448385
338,1313663.507745963
339,1380390.3151639292
340,1378930.7484956621
341,1400149.0750316677
342,1385865.6375323627
343,1361508.5515141138
344,1359167.2229705811
345,1345726.4927355612
346,1331123.660925989
347,1284445.8032447223
348,1296259.3017295408
349,1295943.4188871935
350,1292097.9753919647
351,1281092.4251781043
352,1314942.2690832953
353,1310341.2576751309
354,1307830.2536418345
355,1332349.6782498641
356,1337062.931150418
357,1296995.9990000757
358,1277827.9105777584
359,1287825.772075107
360,1274451.9075460173
361,1307151.7017233379
362,1314211.0377477496
363,1316253.703141927
364,1347212.6988904527
365,1360474.0433986678
366,1369257.1488311728
367,1374335.5179431739
368,1368724.9170861987
369,1360236.2240036437
370,1353931.4137721309
371,1339693.3478121615
372,1332854.6654967526
373,1334645.5839093572
374,1292571.5025393178
375,1277792.276775218
376,1274053.6608421109
377,1267363.350786458
378,1274657.995359219
379,1311419.497644792
380,1324044.2677132338
381,1330339.7968931997
382,1326908.9871315951
383,1332619.1580438802
384,1336544.4818305918
385,1335876.7250586909
386,1311370.80278907
387,1310476.7478293385
388,1329725.2623543893
389,1326848.7389047858
390,1350288.029355336
391,1358989.2751327683
392,1366524.1989164553
393,1370622.0854178877
394,1362486.3147309194
395,1355262.110072439
396,1355690.9670972237
397,1378456.3003324883
398,1377862.3106326095
399,1383342.9322354884
400,1383415.829146387
401,1383849.6391308273
402,1393978.4600256276
403,1384257.7810109202
404,1347223.5351214127
405,1346052.7492015797
406,1339725.5143436736
407,1339036.0895996245
408,1357507.7665652724
409,1359206.6357338096
410,1341793.3517339355
411,1337775.0092697751
412,1326466.7843184744
413,1305328.4158352027
414,1311682.8820054652
415,1302541.0941111902
416,1317919.69301297
417,1305199.5204470726
418,1306237.764575698
419,1343370.1532546112
420,1350990.0492732043
421,1372079.013067972
422,1367800.7096332605
423,1378753.3619547687
424,1378815.355955239
425,1384242.5005486375
426,1395908.84649361
427,1396130.6055340003
428,1403565.7211932302
429,1415405.1144715531
430,1417701.276419469
431,1443176.0632375013
432,1449095.429893633
433,1453465.0127679124
434,1451091.0697704647
435,1475449.572630232
436,1470297.2315118145
437,1467009.9430325755
438,1466411.864267497
439,1455955.3794335225
440,1455014.8687679456
441,1441118.3863911554
442,1476275.706424261
443,1474306.9218854352
444,1473425.27159704
445,1486667.875271646
446,1488462.4904769526
447,1492779.854977848
448,1502724.865363156
449,1509213.067230797
450,1529905.3193789283
451,1538765.7658850525
452,1513331.3927821054
453,1529507.956337529
454,1529627.1552194213
455,1526085.24776763
456,1530850.2654256488
457,1530722.2556892533
458,1522448.0394434214
459,1517778.0282113652
460,1515768.1359004288
461,1524287.8521714627
462,1540327.67349167
463,1545956.62366879
464,1571310.2032999094
465,1571256.3509057485
466,1570482.3253020567
467,1562956.263505306
468,1567290.1287850384
469,1565070.5743227093
470,1541953.3095256647
471,1540351.5632169186
472,1514644.9963524772
473,1518591.954587098
474,1546032.4217500635
475,1550980.2839266013
476,1560697.129619402
477,1541130.4305618864
478,1563850.2558004751
479,1556217.7867543965
480,1553334.106839844
481,1545341.1106412944
482,1577671.4140479832
483,1590048.799189634
484,1590462.3968190923
485,1590451.0837826815
486,1590121.0635984656
487,1592686.3160081739
488,1589887.4842479716
489,1593895.6801015802
490,1599979.80296035
491,1599677.397791173
492,1599490.565234476
493,1598742.5475811593
494,1596788.1563667099
495,1600536.78321737
496,1609656.4652337974
497,1609077.2468337088
498,1606801.4860814363
499,1604026.8910286755
500,1606277.9779374173
501,1607154.5709498778
502,1603990.4212201682
503,1603083.374340524
504,1619543.584696844
505,1615739.595345434
506,1623148.7864306937
507,1619077.6340913493
508,1620420.5944284454
509,1625931.839604212
510,1626647.7770492528
511,1632844.309942646
512,1636181.9404009578
513,1644307.3071558375
514,1638001.9721119555
515,1633478.0561951492
516,1617475.2539271214
517,1603991.2815928736
518,1629067.6558979359
519,1635631.9530216581
520,1642988.885064779
521,1645772.8838650936
522,1617074.2543951478
523,1628084.2449090944
524,1647006.0400129885
525,1648806.0576419404
526,1648767.0875397825
527,1657085.8671024553
528,1667243.793287609
529,1679373.0019965668
530,1683148.3124406268
531,1680572.3708368756
532,1690459.5951415165
533,1691340.2327532154
534,1690231.7329513489
535,1698313.5794897082
536,1695683.8426465732
537,1693387.216140891
538,1655844.3690708736
539,1653070.6468971833
540,1654904.4440427735
541,1667214.2985453259
542,1683775.7853109534
543,1664977.3516637427
544,1674513.834448645
545,1707118.226239755
546,1700071.9024417137
547,1685076.9464306328
548,1693263.9819371412
549,1684991.806413774
550,1658940.311744736
551,1669571.9569489227
552,1667838.6982909683
553,1641741.2599236814
554,1600777.4264870551
555,1621608.65387137
556,1617978.8972771622
557,1646955.1820524035
558,1646286.2622317472
559,1649167.9568590566
560,1668737.1227907133
561,1682147.4184712733
562,1680841.5627184052
563,1689882.0053239984
564,1695249.969955176
565,1693272.9494676515
566,1695397.5141515054
567,1695259.0664018414
568,1688259.0168751897
569,1685304.4112630317
570,1679051.0241244554
571,1672631.0763880094
572,1666955.535894354
573,1661647.522301049
574,1671017.8910756493
575,1669189.9511501098
576,1661456.3826458596
577,1651124.9025017149
578,1670995.9550871926
579,1701959.0505421525
580,1720426.5726308469
581,1723762.465503403
582,1730289.0547454222
583,1739621.9705443576
584,1739604.0824327923
585,1751053.7876572255
586,1745430.775614069
587,1748194.4150780805
588,1743607.3220627226
589,1728774.323074598
590,1733292.6769766076
591,1740489.0513264076
592,1750080.147653731
593,1738105.1324129344
594,1742934.4636942975
595,1725251.230186971
596,1711112.6679338694
597,1705528.987622934
598,1723138.3370917786
599,1727117.8473876421
600,1709202.9740460527
601,1694284.489787396
602,1688111.7442467064
603,1698118.6296070484
604,1696510.2982618692
605,1703446.2035298883
606,1729015.5354336146
607,1702772.3200620848
608,1705206.2272082677
609,1690142.241229704
610,1676126.214526982
611,1667864.314472682
612,1663818.813833075
613,1673915.5606871396
614,1647436.421190567
615,1648036.0995456465
616,1671320.9981143696
617,1647095.263861407
618,1649134.4574672857
619,1645881.8297971503
620,1649782.840345947
621,1680098.889534949
622,1668748.4443088034
623,1677741.2227342436
624,1660668.6992635971
625,1679767.0556598792
626,1708344.095193047
627,1712935.1740125723
628,1728108.8050586646
629,1760811.2460901635
630,1770938.8909900924
631,1781818.95066935
632,1798989.0861914307
633,1796688.4382182546
634,1772640.272517001
635,1766849.45543385
636,1781236.2409478936
637,1778598.5216105846
638,1793955.3927253336
639,1800767.5736453608
640,1822077.6228690853
641,1836266.0326659465
642,1844453.8373890417
643,1846882.6877131418
644,1850064.1165288235
645,1854907.5079866902
646,1814807.4825100636
647,1808891.3397238334
648,1797489.863616981
649,1807161.0536717398
650,1770247.186944822
651,1783365.077282533
652,1712851.5324987888
653,1716757.3143920838
654,1627415.117234254
655,1703927.2786937673
656,1644184.5585354553
657,1704020.1266682432
658,1719626.6379979134
659,1747660.2145418273
660,1734323.2396099202
661,1734520.5244562707
662,1677801.5792440756
663,1648739.5076926737
664,1652624.1030688442
665,1712436.992637462
666,1732953.4619265741
667,1706984.3049411993
668,1737052.4103627673
669,1770985.3918067433
670,1778017.3963534692
671,1774774.6514436763
672,1757729.0184182127
673,1723690.6261687665
674,1731992.9398288776
675,1762128.1279769079
676,1756495.804061932
677,1714594.653937575
678,1725097.846385691
679,1741171.9524536417
680,1759150.7628220527
681,1784532.8833188582
682,1800094.2585164956
683,1810960.9504726976
684,1814683.3466254016
685,1781799.1546737058
