Model,Validation_Begin,Validation_End/Trade_Begin,Trade_End
DDPG,20151002,20160104,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
PPO,20160104,20160405,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
DDPG,20160405,20160705,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
PPO,20160705,20161003,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
PPO,20161003,20170103,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
PPO,20170103,20170404,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
DDPG,20170404,20170705,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
PPO,20170705,20171003,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
DDPG,20171003,20180103,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
PPO,20180103,20180405,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
A2C,20180405,20180705,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
DDPG,20180705,20181003,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
A2C,20181003,20190104,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
DDPG,20190104,20190405,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
A2C,20190405,20190708,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
A2C,20190708,20191004,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
DDPG,20191004,20200106,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
DDPG,20200106,20200406,[20151002 20151005 20151006 ... 20200702 20200706 20200707]
