,0
0,-1823.536868528463
1,2448.226177175995
2,4244.82455290854
3,-836.568779475987
4,0.0
5,0.0
6,0.0
7,705.0540000000037
8,-2714.878999999957
9,2178.363999999827
10,5783.562000000151
11,4510.059000000125
12,-1154.4449999995995
13,0.0
14,0.0
15,0.0
16,0.0
17,-2875.0820000004023
18,-226.43599999998696
19,-7372.868000000482
20,5256.280000000494
21,-2545.4569999999367
22,-659.0460000000894
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
