,0
0,1852868.4681888067
1,1851255.6131888065
2,1854321.0271888066
3,1853632.4471888065
4,1851671.5031888061
5,1851326.1731888058
6,1851326.1731888058
7,1851326.1731888058
8,1851326.1731888058
9,1851326.1731888058
10,1851326.1731888058
11,1851326.1731888058
12,1851326.1731888058
13,1851326.1731888058
14,1851326.1731888058
15,1851326.1731888058
16,1851326.1731888058
17,1851326.1731888058
18,1851326.1731888058
19,1851326.1731888058
20,1851326.1731888058
21,1851326.1731888058
22,1851326.1731888058
23,1851326.1731888058
24,1851326.1731888058
25,1851326.1731888058
26,1851326.1731888058
27,1851326.1731888058
28,1851326.1731888058
29,1851326.1731888058
30,1851326.1731888058
31,1851326.1731888058
32,1851326.1731888058
33,1838281.8486888062
34,1815988.7206888068
35,1815340.4226888064
36,1815340.4226888064
37,1809693.9316888063
38,1809390.7786888066
39,1809390.7786888066
40,1809390.7786888066
41,1809390.7786888066
42,1809390.7786888066
43,1809390.7786888066
44,1809390.7786888066
45,1809390.7786888066
46,1809390.7786888066
47,1809390.7786888066
48,1809390.7786888066
49,1809390.7786888066
50,1809390.7786888066
51,1809390.7786888066
52,1809390.7786888066
53,1809390.7786888066
54,1809390.7786888066
55,1809390.7786888066
56,1809390.7786888066
57,1809390.7786888066
58,1809390.7786888066
59,1809390.7786888066
60,1809390.7786888066
61,1809390.7786888066
62,1809390.7786888066
