,0
0,1000000.0
1,999272.9469764316
2,999599.8494446892
3,993148.4651616146
4,991825.3961676826
5,985260.6489371813
6,975888.0192997925
7,975546.3057192916
8,959972.5774382809
9,960772.8389885462
10,966280.9540188172
11,922734.7631321113
12,962176.3580806351
13,954367.784982151
14,954088.0981271233
15,958665.1222059408
16,971819.2067519097
17,1009004.4246340756
18,980825.2067688508
19,959660.6409861866
20,953827.5641409312
21,968931.3954786786
22,962564.2182810197
23,979658.7208390493
24,1010025.7863544674
25,1012035.9525376408
26,962975.0871565178
27,978493.5334326678
28,979485.4398781165
29,967108.0640639449
30,925716.0195918576
31,926062.8206500523
32,923493.1864710464
33,910946.1730445151
34,874200.6131324611
35,915512.7911638876
36,897080.5041124391
37,891082.0692753699
38,885577.1831705841
39,847018.6395013244
40,835090.1738758845
41,854506.5702580928
42,818897.7892060077
43,814462.0643065566
44,800364.895801003
45,857217.1017496204
46,867167.2710649958
47,900451.7557477655
48,910384.4381519322
49,901254.0161191637
50,930009.1098728233
51,946796.8690512878
52,927678.1640833768
53,911787.405429143
54,985799.30783265
55,970647.3452381013
56,983389.2220987042
57,997062.0211095283
58,974195.333803488
59,941773.4602349749
60,961783.3497839842
61,983116.382080823
62,1011642.764731348
63,1021266.8922950256
64,1014676.2739986969
65,997382.8239765201
66,1002739.0813024926
67,1037463.7495725523
68,1041933.3685809916
69,1006385.5263224852
70,1028488.1209492463
71,1036798.7758201181
72,1032440.236415457
73,1000360.4209749106
74,1022946.7434050014
75,1010949.6976439995
76,1019496.5278605212
77,1024887.6061722162
78,1021075.7334288472
79,1024555.455521336
80,1055445.867790943
81,1052206.6297955208
82,1055183.3121091155
83,1083001.8253165588
84,1080407.7333802925
85,1094378.8260406547
86,1078998.3832200966
87,1104226.6118730968
88,1082015.8681024215
89,1089388.7660607535
90,1063664.2335059969
91,1072630.8553585485
92,1066135.5000017781
93,1104334.392798601
94,1095245.3435775242
95,1081641.5225301604
96,1070121.2797809758
97,1066312.475368665
98,1097766.3339895837
99,1073936.769872675
100,1089864.1370272005
101,1098867.527191944
102,1124600.3819747476
103,1124691.839506123
104,1116492.1458416802
105,1131783.5831653853
106,1133039.8972618482
107,1133897.3844738803
108,1132152.5905899636
109,1125390.4856697812
110,1124844.9118681096
111,1127239.5620551605
112,1103409.2455758364
113,1095187.835826128
114,1089018.087157811
115,1100505.1859670188
116,1096132.030335706
117,1065324.0298263086
118,1070087.9046176656
119,1071282.958976428
120,1090767.6542071123
121,1091327.4096655522
122,1102825.5249418346
123,1090266.721224029
124,1095059.6160667127
125,1064088.4405096036
126,1074569.638074615
127,1055676.6484190747
128,1055186.8293936208
129,1062830.333115526
130,1052482.1587306992
131,1082337.844274511
132,1085178.9538900047
133,1117939.356254345
134,1129887.619511008
135,1137532.1725978646
136,1152538.3687828127
137,1159585.0538562417
138,1156234.6489145719
139,1186412.468763692
140,1190701.8392516756
141,1192488.4197049562
142,1187547.910003283
143,1181135.266781531
144,1193499.3822062553
145,1198554.1680801837
146,1212423.2147502436
