,0
0,1219056.3121250204
1,1208746.5521204784
2,1212008.1394331555
3,1209586.6489843305
4,1209807.5969599106
5,1216417.993549887
6,1223890.0438454824
7,1226331.0000960007
8,1229632.5605796762
9,1222451.5265148145
10,1226318.8092921297
11,1214777.6642168255
12,1213226.3139208131
13,1207250.667259161
14,1218158.8843050252
15,1222366.41604065
16,1225156.6548297144
17,1223931.5129563815
18,1223964.7453281062
19,1224108.263972079
20,1224120.7118602272
21,1224723.8495925192
22,1224907.880553921
23,1225519.8512295014
24,1224604.5263238389
25,1224315.3352719918
26,1220733.5237723105
27,1221020.242977923
28,1223891.6172099556
29,1221490.5239759998
30,1222637.4970166022
31,1213702.7250079392
32,1208016.9081239272
33,1208404.0877381382
34,1213667.0061499567
35,1209144.196471798
36,1207216.3237649943
37,1207339.798200183
38,1207683.5811659545
39,1209425.1367341506
40,1208889.1477664057
41,1215190.9195838224
42,1215722.916373607
43,1205626.52814072
44,1210038.6417760365
45,1212641.1349970982
46,1214857.3363482933
47,1228168.5746976016
48,1229952.9494332687
49,1231478.4505011088
50,1235046.306660552
51,1240666.004128418
52,1243936.105601201
53,1239539.9322226231
54,1240416.6183278305
55,1236988.5054693704
56,1235315.288622719
57,1234444.6417150877
58,1235556.0753971061
59,1234508.3504594183
60,1238824.1337365222
61,1238824.414647783
62,1245649.9111726861
