,0
0,1000000.0
1,999924.8417021974
2,1000227.1443028363
3,997733.7806705227
4,996755.3565984095
5,994247.6507385727
6,992424.3410225231
7,993360.986480226
8,987236.8835316033
9,988381.7400737059
10,990778.3973859383
11,980974.7962643632
12,994134.1972461083
13,987738.4105246563
14,986959.5238313406
15,989733.501228659
16,992485.1082314206
17,1002237.1356466729
18,988887.8266283972
19,983564.7097513028
20,982330.640366222
21,993230.3432186116
22,986679.2112246165
23,996872.1987698241
24,1010692.0816622082
25,1008571.5119726507
26,982179.9030522455
27,985148.8461837759
28,984646.0959343663
29,974752.2823018456
30,949132.7894889718
31,954846.8137563379
32,947876.5957581877
33,941622.8489308334
34,914442.0643398234
35,937490.6896841602
36,928062.3973230813
37,926233.9485498312
38,921713.4705420707
39,889869.0187453143
40,883814.5504310627
41,900673.004784996
42,875194.9575909458
43,875490.1582147937
44,861182.9291797249
45,900373.4863726818
46,896628.7496588131
47,919987.0381237576
48,923024.390172629
49,922271.6599826226
50,946990.9014876003
51,952338.8171403533
52,946973.3695884614
53,933638.3638670461
54,994024.1465978366
55,983579.753682479
56,988851.8282823547
57,1002918.5321761062
58,982036.1154239853
59,964129.1469639734
60,972094.6017359194
61,988914.468039229
62,1013334.2268225307
63,1017609.9746964012
64,1013736.5133855864
65,992469.8622631462
66,1001756.2212034734
67,1021394.6319168769
68,1012684.6295973826
69,997037.5607549053
70,1008057.609083892
71,1013268.6763420447
72,1013720.3872547158
73,983266.5662234254
74,996719.5942921286
75,983217.879237096
76,995812.4199593908
77,1019521.2997873195
78,1009139.0860947497
79,1016279.189130757
80,1037234.148697671
81,1028283.2422137978
82,1034559.032718783
83,1053362.6126214014
84,1044457.8320188378
85,1057242.7618585546
86,1047573.4122296293
87,1076478.4313965663
88,1050891.386858766
89,1063404.7445117803
90,1042029.4702172255
91,1045237.6732455762
92,1031893.7023994961
93,1055121.2212904007
94,1048065.5038971903
95,1039898.869938074
96,1025508.3663346039
97,1021382.0689241725
98,1045186.304004126
99,1022395.4413252238
100,1037413.6590220145
101,1045066.79422606
102,1077861.6930498695
103,1082717.403377056
104,1074239.5202535465
105,1088326.9771881942
106,1087777.8905608156
107,1093427.015633761
108,1098945.643490606
109,1101345.0008122972
110,1101500.167851296
111,1104842.04804953
112,1087987.2945457269
113,1073405.6816084366
114,1068090.5610171212
115,1073358.5164850364
116,1070505.0325464301
117,1039586.4132522785
118,1038976.3132046226
119,1032658.4092036617
120,1054324.9874955926
121,1042551.522680282
122,1057150.1070378828
123,1043340.0515291685
124,1046806.2540044488
125,1018495.6045860642
126,1025357.6172318343
127,1000988.1094586703
128,1000821.4233914042
129,999135.6491917137
130,990029.2830728975
131,1009574.7498816866
132,1013336.5276075557
133,1048911.1800868527
134,1056347.4626272938
135,1056721.5750786553
136,1068227.7737691216
137,1082320.8361609834
138,1072949.9898607437
139,1096862.9441822483
140,1100958.3964978552
141,1095317.1623062952
142,1090287.9568738109
143,1089902.3369094857
144,1094546.9350659603
145,1098053.9932888483
146,1106867.8365380794
147,1104292.2536221761
148,1103780.7303496615
149,1105502.2605375242
150,1115679.5504810596
151,1109463.5625910435
152,1093433.796600843
153,1108850.683636229
154,1109295.4244982607
155,1103455.9136812952
156,1072438.1183674652
157,1081523.6372361314
158,1093231.5735127477
159,1104550.7193433268
160,1125381.861465526
161,1135310.1249244811
162,1138448.6348549174
163,1147408.1820448914
164,1154871.9993907597
165,1150792.908723131
166,1140599.8615867654
167,1116488.5222713947
168,1110963.432508004
169,1115482.0772870502
170,1128672.5781679077
171,1147006.1071972123
172,1149818.0631200047
173,1160323.9023630507
174,1154064.2061580224
175,1153321.8847593511
176,1158740.4479455142
177,1170338.0206307352
178,1158032.278494885
179,1161212.2858651758
180,1151669.922142394
181,1158223.7030050436
182,1147367.5183479222
183,1144977.3739159522
184,1137449.26744407
185,1158564.7027692369
186,1162381.5438549672
187,1158292.0543702096
188,1134759.669111649
189,1127477.3187873217
190,1141379.2241569208
191,1154615.8721736656
192,1154487.5359688962
193,1167609.1537048488
194,1173288.23942866
195,1177335.6343122462
196,1176800.2923892317
197,1192257.2895927257
198,1208977.0287039643
199,1209564.4376229988
200,1219209.0135886318
201,1208542.318401249
202,1205644.9336671121
203,1218878.316851985
204,1203623.7402658518
205,1196810.8423787358
206,1211405.1527452404
207,1197578.6361242014
208,1222622.7422001807
209,1193053.3576229576
210,1202485.9447543486
211,1198945.2055625622
212,1200446.7678889355
213,1224190.9550304802
214,1222785.1566203283
215,1241551.9435659926
216,1244410.609564785
217,1248174.002262677
218,1235588.8539936699
219,1246112.3023594364
220,1265007.3350901846
221,1270643.4036517022
222,1271562.4927030553
223,1258098.349599995
224,1252906.4795287699
225,1277843.600131511
226,1280965.9475383325
227,1287911.3755903323
228,1266104.530091263
229,1270305.5834360889
230,1285520.6281748628
231,1278844.505565958
232,1261188.4552135773
233,1262457.847084275
234,1264330.4359331848
235,1251481.2421944083
236,1259363.5901278788
237,1263092.3251925835
238,1271100.4837531166
239,1256981.72830385
240,1249064.3813335637
241,1249071.8556594213
242,1234877.4147396826
243,1234027.2519660753
244,1242550.6339391998
245,1248469.9211235698
246,1246383.896658614
247,1253250.9058097573
248,1253496.0046411196
249,1249662.0464435564
250,1248894.0206412994
251,1237206.6968502973
252,1257658.4420825967
253,1261592.795888933
254,1259588.6357061716
255,1260622.6787435848
256,1260301.971413474
257,1266138.2618612035
258,1263592.803913966
259,1263130.5127598138
260,1263294.832112247
261,1252013.3733010131
262,1261927.7039872862
263,1246532.5286569542
264,1224550.6588858715
265,1191428.809462945
266,1191838.3750153277
267,1187787.240550446
268,1191288.660755721
269,1176584.5951036066
270,1165507.5386601859
271,1184878.0728163093
272,1197887.8317556982
273,1177573.1392230669
274,1147039.210707995
275,1147708.8758704248
276,1133249.4361029554
277,1150809.8683053763
278,1147311.4015088538
279,1158840.8436670043
280,1152182.8550332186
281,1178095.7463531797
282,1174407.9951152848
283,1183076.784110361
284,1184138.881237947
285,1176957.7008967777
286,1163087.8431710652
287,1174512.675815425
288,1171229.3370841276
289,1169892.8382491595
290,1176195.2293068143
291,1179300.6036224952
