,0
0,-53.71889918972738
1,-3835.8408931893064
2,-7905.082270326908
3,-5337.366603660281
4,98.8495982598979
5,4089.828826882527
6,-15587.005968196783
7,13429.594105610508
8,-22690.534331896226
9,-127.81559403229039
10,-16289.777100251988
11,5679.338648361852
12,13143.125552943326
13,-13215.377428082866
14,20176.216767560923
15,-25073.84708835301
16,8375.04511378042
17,21267.743607151206
18,596.5866156616248
19,-13405.998433843488
20,18836.111746174516
21,8377.415517551824
22,-12479.189018901903
23,-8835.504212421249
24,-260.4900900089415
25,-7447.36881188117
26,-21690.5372367237
27,17451.71673267323
28,12121.851422142237
29,17432.573231323273
30,782.4265886587091
31,-6576.962313231314
32,12001.328721872182
33,-13027.705724572414
34,1695.2667056706268
35,11002.645724572358
36,259.0428172816755
37,-7332.655103510246
38,21429.10423942376
39,1831.3184878488537
40,-1345.0354005399859
41,3853.1963186318753
42,4800.276885688538
43,-6628.731125112507
44,6121.4071062107105
45,-1698.1860981098143
46,13621.33234023396
47,1212.028190819081
48,1852.195697569754
49,5721.776912691188
50,12974.359819982084
51,7138.2302070208825
52,2676.2575967593584
53,-1620.588307830738
54,-5769.938901890069
55,-236.05219621956348
56,-694.285193519434
57,3282.2911881187465
58,-181.57279027905315
59,-7763.817416741629
60,4869.635607560747
61,-2066.898901890032
