,0
0,1338508.5592997011
1,1339146.1245577266
2,1345007.8617185429
3,1348031.5367587467
4,1354123.1132907
5,1354184.0416141325
6,1349395.1412873669
7,1360244.6045207062
8,1373326.645247727
9,1385515.2687472499
10,1406659.2287656115
11,1384614.8803928483
12,1391931.7013262685
13,1390147.6633244685
14,1404419.440750211
15,1390827.6073568717
16,1393920.9575638925
17,1424994.1943775737
18,1412480.6096791038
19,1415152.4484729832
20,1426252.9272668627
21,1440259.920687205
22,1436272.371668303
23,1423600.306249761
24,1419660.1616413
25,1416583.1138465207
26,1441339.0386710032
27,1446150.5190670427
28,1441661.4626584018
29,1469941.5070868446
30,1469353.3100931454
31,1475536.0971228483
32,1467425.5007052065
33,1478268.3284999859
34,1484671.8683199678
35,1482666.9223163675
36,1475806.9734954857
37,1470381.995268663
38,1475465.6750706432
39,1462588.5988870247
40,1461403.8562767638
41,1453256.078490985
42,1442907.2474918852
43,1442266.2062947652
44,1444930.3083109672
45,1434502.456510787
46,1443684.9959167277
47,1441273.269301066
48,1448055.6243055665
49,1452434.7617043066
50,1453776.2183019663
51,1444076.555700706
52,1457744.2995170876
53,1425524.449481084
54,1430845.302469383
55,1435603.2962677628
56,1433651.972658402
57,1438843.183459482
58,1455182.9996701032
59,1475925.5694900851
60,1435714.4417673126
61,1434278.7448284558
62,1434278.7448284558
