,0
0,1000000.0
1,999752.1987075126
2,1000421.9852755106
3,993464.7762198709
4,993707.9755185333
5,986584.2051142752
6,976954.3972348485
7,977584.4001474773
8,960530.6520669506
9,962509.1259427462
10,967613.7284347741
11,922444.4197276302
12,966672.9905916438
13,958354.075260682
14,961447.3529338978
15,965049.560955373
16,980327.7634902082
17,1015948.4357272458
18,980326.5044238247
19,968217.0285976434
20,972956.4225633338
21,984842.5163734842
22,985105.7180714171
23,1006201.0284986331
24,1033461.5268167052
25,1032613.2881087208
26,980359.3276072269
27,990163.3871116447
28,990490.1078158402
29,982183.9362155113
30,930444.5518673091
31,928754.1864562996
32,923212.3671522369
33,908604.6206703688
34,873395.4645892327
35,918254.5290945021
36,901592.1904399894
37,886155.6176729475
38,866591.6701245568
39,825728.0593675905
40,819876.4936711697
41,839773.6312286531
42,795601.0156033859
43,798222.9846414977
44,792133.0559937
45,851798.8901039336
46,857143.1527223533
47,891190.3423272469
48,899602.200959964
49,885557.6564790912
50,917043.8727249522
51,941374.598450414
52,922508.9899523264
53,901413.8988166186
54,977562.2386894117
55,959054.8378578415
56,971366.2181315073
57,990064.507885954
58,967079.3338647911
59,928189.3825453105
60,945359.055805944
61,967798.671514529
62,994795.7036749164
63,1002925.6903002139
64,994504.5905503328
65,978181.6607368101
66,980493.6126369393
67,1026526.5958435365
68,1031280.206241731
69,993767.5382798184
70,1012382.0856804976
71,1015586.7568206738
72,1016014.8370887863
73,977699.9079944255
74,997364.3212411116
75,986872.4397396287
76,1004457.6048734477
77,1021583.0507020652
78,1011111.0946704883
79,1011874.7320676913
80,1038856.512657042
81,1037810.0418632729
82,1039510.465543389
83,1070825.9730805047
84,1072753.8052259984
85,1095219.852319132
86,1080009.6438014752
87,1113333.9738484041
88,1081821.0638070207
89,1085318.4700067358
90,1060603.7702988116
91,1072133.6338573794
92,1063954.277154669
93,1100633.663537254
94,1088322.185861997
95,1076974.7104917301
96,1063067.7783985792
97,1060030.4356668552
98,1091516.6785267876
99,1072482.7440797684
100,1089176.0461322144
101,1098229.7136008607
102,1125101.171463173
103,1124636.8797494976
104,1115235.6956060145
105,1133919.5117332253
106,1131590.6729012933
107,1131148.552481871
108,1134374.8393248934
109,1128607.8710139354
110,1126529.6094423435
111,1129194.4982201243
112,1106547.3196440735
113,1096812.3672674214
114,1088554.0125521075
115,1098252.2884168697
116,1099165.338588407
117,1063104.6561729722
118,1069432.1192341044
119,1069554.830977815
120,1092903.5365638111
121,1090637.5729343977
122,1105597.3260330644
123,1093706.8898841275
124,1098754.4448801777
125,1066261.2513434903
126,1075739.6829902744
127,1054295.533976474
128,1050203.5579090042
129,1056260.2385006754
130,1047733.8850388495
131,1077816.3827546602
132,1083568.029163087
133,1120579.3522118016
134,1130198.7457377752
