,0
0,1499240.0773822323
1,1496987.5543822325
2,1496683.9783822321
3,1496683.9783822321
4,1496683.9783822321
5,1496683.9783822321
6,1496683.9783822321
7,1499235.0383822317
8,1497145.2603822313
9,1515594.3823822313
10,1515335.2583822312
11,1514154.7263822313
12,1514154.7263822313
13,1514154.7263822313
14,1514154.7263822313
15,1514154.7263822313
16,1514154.7263822313
17,1514154.7263822313
18,1514154.7263822313
19,1514154.7263822313
20,1514154.7263822313
21,1514154.7263822313
22,1514154.7263822313
23,1514154.7263822313
24,1514154.7263822313
25,1514154.7263822313
26,1514154.7263822313
27,1514154.7263822313
28,1514154.7263822313
29,1514154.7263822313
30,1514154.7263822313
31,1514154.7263822313
32,1514154.7263822313
33,1514154.7263822313
34,1514154.7263822313
35,1514154.7263822313
36,1514154.7263822313
37,1514154.7263822313
38,1514154.7263822313
39,1514154.7263822313
40,1514154.7263822313
41,1514154.7263822313
42,1514154.7263822313
43,1514154.7263822313
44,1514154.7263822313
45,1514154.7263822313
46,1514154.7263822313
47,1514154.7263822313
48,1514154.7263822313
49,1514154.7263822313
50,1514154.7263822313
51,1514154.7263822313
52,1514154.7263822313
53,1514154.7263822313
54,1514154.7263822313
55,1514154.7263822313
56,1514154.7263822313
57,1525863.257382232
58,1525601.830382232
59,1525601.830382232
60,1525601.830382232
61,1525601.830382232
62,1525601.830382232
