,0
0,1000000.0
1,999676.6759944668
2,999739.5449789418
3,994959.244912222
4,994955.5747118349
5,990985.3418133592
6,983207.7102311798
7,981660.818625363
8,970010.3131448537
9,966243.532573946
10,968961.6574850196
11,934624.4865644064
12,961908.690839444
13,956911.957095861
14,956494.2842725052
15,959777.754839826
16,968689.0292496078
17,1002750.7507397227
18,972075.22877781
19,956860.2669431355
20,957926.5738107436
21,966701.9934881015
22,969343.5691230012
23,993670.6826836109
24,1021624.5074774217
25,1020738.6697019616
26,969824.8677620859
27,983867.5333258791
28,985091.1413275352
29,980496.7761872684
30,927482.852603649
31,924498.4274130297
32,918592.8021343321
33,905146.3459982596
34,872633.6505193977
35,917912.5932395164
36,902359.180951776
37,894666.5285756725
38,884419.0937965082
39,846823.1912196991
40,836518.6561835073
41,858209.1850930189
42,820993.5168293546
43,809118.1956192058
44,798414.3517930033
45,858661.211943493
46,874094.3242854615
47,903239.1175422629
48,909211.4425303877
49,898558.590269799
50,929192.8534325964
51,953894.6089554614
52,928937.7121789035
53,913366.1053202671
54,991114.2690572587
55,974692.1629961542
56,989214.1201367525
57,1009556.1122071772
58,987329.771496683
59,946446.4530286895
60,966046.6881993677
61,990459.2948716095
62,1021251.81379208
63,1037199.7443641254
64,1028525.0325452401
65,1006018.0126770462
66,1007009.101661183
67,1059656.1548514836
68,1065202.037253293
69,1020662.4001866903
70,1041474.632858773
71,1054365.9299285733
72,1058060.6554168928
73,1018417.1789048946
74,1046913.0345969534
75,1037892.0418034174
76,1051379.3806759177
77,1059706.703387116
78,1054927.2856416747
79,1051817.4647051254
80,1078950.1459164177
81,1080691.8055260587
82,1082893.0400448765
83,1120029.3074841541
84,1123154.950220457
85,1141372.9499864273
86,1116598.6625030474
87,1150492.0894977811
88,1123273.350649196
89,1122435.1371241806
90,1093504.0456629652
91,1108268.9571174483
92,1106122.0945373338
93,1150244.9114815248
94,1138950.5411387265
95,1130133.9237150496
96,1114991.894298787
97,1110189.2614082277
98,1145765.698776968
99,1124364.5649770068
100,1143319.3024996421
101,1150886.500839843
102,1173994.6160886043
103,1175942.705874476
104,1170508.4383018927
105,1194414.5399247166
106,1198192.7509594094
107,1197211.2446328178
108,1194300.3773436195
109,1185768.380925912
110,1178880.3129895807
111,1183608.0786581996
112,1159664.0663864298
113,1151418.4168157883
114,1142460.8283756662
115,1155589.010778682
116,1155136.188838809
117,1124897.1372427566
118,1126711.3971229654
